car_id,brand,model,year,color,license_plate,vin,current_location_id,purchase_date,purchase_price,daily_rental_price,fuel_type,transmission,seats,status,mileage
1,Renault,Kaptur,2021,Red,NE4598BY,VIN18061510918598201,4,2018-06-13,55398.96,1314.71,Diesel,Automatic,4,Maintenance,28869
2,Audi,Q3,2021,Black,MR3287BE,VIN90901673634470169,9,2020-12-19,130387.33,2468.03,Diesel,Manual,5,Rented,19131
3,BMW,X3,2018,Black,NE3621BY,VIN19155309468533556,7,2021-10-15,147789.11,3345.76,Hybrid,Manual,7,Available,90166
4,Lada,Granta,2023,Red,MR2827BY,VIN32792933745673882,8,2018-12-24,33847.88,702.85,Diesel,Automatic,7,Available,115100
5,Audi,A6,2024,Black,MR3646BE,VIN56715812095225524,8,2018-02-12,131947.47,2421.57,Diesel,Automatic,4,Rented,116082
6,Mercedes,C-Class,2018,Blue,AB3103BY,VIN89235051096943820,3,2020-09-28,114276.3,2499.5,Hybrid,Manual,4,Rented,94447
7,Ford,EcoSport,2023,Blue,MR2982BE,VIN19227102545363919,6,2018-10-18,54748.17,845.73,Petrol,Automatic,4,Available,93778
8,Audi,A3,2019,Silver,AB9423BE,VIN40874778219061223,9,2019-12-19,77359.01,660.18,Hybrid,Manual,4,Reserved,106840
9,Hyundai,Elantra,2018,Gray,MR8651BE,VIN18735203693554158,7,2023-06-26,41453.96,635.4,Petrol,Automatic,4,Rented,71292
10,Kia,Ceed,2021,White,MR2604BE,VIN33967954341420480,7,2021-08-07,42752.32,678.25,Diesel,Automatic,4,Reserved,1282
11,Hyundai,Tucson,2024,Red,NE8973BE,VIN52760102509094284,4,2018-10-24,75702.59,972.72,Hybrid,Automatic,7,Maintenance,8492
12,Volkswagen,Jetta,2021,Black,AB9320BE,VIN36780202783839696,2,2022-02-22,47542.76,1069.53,Petrol,Manual,4,Rented,76880
13,Mercedes,C-Class,2022,Blue,NE6183BY,VIN55278669296916621,4,2020-07-05,88279.34,1692.79,Hybrid,Manual,5,Maintenance,99548
14,Chery,Tiggo 7 Pro,2018,White,AB9808BE,VIN48219408606341324,3,2020-02-08,51874.28,1295.49,Diesel,Manual,4,Reserved,110280
15,BMW,X1,2022,Blue,AB5905BE,VIN48113553246381839,2,2018-12-18,129354.13,2809.66,Petrol,Manual,5,Rented,95058
16,Toyota,Camry,2023,Gray,MR1832BE,VIN71043702887380771,14,2020-01-01,85855.95,1072.15,Diesel,Automatic,7,Maintenance,22178
17,Lada,XRAY,2022,White,AB3442BE,VIN63209631860196587,10,2022-03-14,45585.01,799.35,Petrol,Automatic,5,Maintenance,118831
18,Chery,Tiggo 7 Pro,2020,White,MR7658BE,VIN13572091711135855,3,2023-06-26,48151.15,589.47,Diesel,Automatic,5,Rented,104202
19,Lada,Granta,2021,Black,AB8541BY,VIN42126669884207802,1,2023-04-13,33721.67,761.98,Diesel,Manual,4,Maintenance,47025
20,Audi,Q5,2021,Silver,AB2889BY,VIN93671796258610907,5,2018-02-20,148975.91,3328.46,Diesel,Manual,7,Maintenance,58199
21,Mercedes,C-Class,2021,White,NE8144BE,VIN87599110336052992,11,2023-12-24,120980.19,1358.77,Hybrid,Automatic,5,Reserved,10171
22,Audi,A6,2022,Red,MR9308BY,VIN68855623348551241,6,2021-12-10,115695.78,2593.47,Hybrid,Automatic,4,Reserved,88153
23,Hyundai,Elantra,2022,White,MR5700BE,VIN97429147042374118,11,2020-08-15,48536.58,723.35,Diesel,Automatic,7,Reserved,105036
24,Chery,Tiggo 7 Pro,2023,Red,NE6491BE,VIN43848133679748804,11,2020-04-26,46271.93,775.64,Petrol,Automatic,4,Available,33092
25,Kia,Rio,2021,Black,NE7291BY,VIN45161863881729635,3,2023-12-01,40387.73,755.49,Petrol,Manual,4,Rented,106396
26,Lada,XRAY,2018,White,MR3184BY,VIN86544171282161601,9,2022-06-25,43361.09,1023.19,Diesel,Manual,7,Reserved,118598
27,Renault,Kaptur,2021,Red,MR9540BY,VIN44478965057033705,5,2021-02-23,55183.83,673.41,Diesel,Automatic,5,Maintenance,42904
28,Chery,Tiggo 7 Pro,2019,Black,NE4505BE,VIN68741260171921492,6,2022-08-14,47262.46,685.85,Petrol,Automatic,5,Reserved,119598
29,Geely,Emgrand,2023,Blue,MR8814BE,VIN60693786511574128,5,2021-07-18,35253.92,809.82,Hybrid,Automatic,5,Rented,36774
30,Hyundai,Creta,2018,Gray,NE3704BY,VIN28393106905240682,10,2022-01-13,57777.14,1119.19,Hybrid,Automatic,4,Reserved,18786
31,BYD,Han,2019,Black,MR6355BY,VIN50101003169524324,13,2021-05-27,71257.12,1029.29,Petrol,Manual,4,Available,46870
32,Peugeot,308,2024,White,AB4266BE,VIN31960612834695821,4,2019-08-22,54359.28,472.08,Petrol,Automatic,5,Maintenance,101518
33,Toyota,Camry,2022,White,AB6096BE,VIN13700649386880725,15,2020-10-22,85181.19,1764.51,Diesel,Manual,7,Rented,10961
34,Mercedes,E-Class,2018,Red,NE2983BE,VIN86776682255702152,7,2023-06-03,144859.65,1901.56,Hybrid,Manual,4,Reserved,108784
35,Kia,Rio,2021,Gray,NE3506BY,VIN48922976409968793,10,2022-08-15,47490.24,893.05,Diesel,Manual,5,Rented,109885
36,Chery,Tiggo 7 Pro,2020,Gray,NE7209BY,VIN81237070724063745,14,2020-03-16,58224.47,707.18,Petrol,Manual,5,Maintenance,37655
37,Chery,Tiggo 8 Pro,2022,White,AB7658BY,VIN80734811592609219,8,2018-02-10,55203.02,1331.33,Petrol,Manual,7,Rented,41135
38,Audi,Q5,2020,Gray,NE6419BY,VIN75391584474975547,5,2020-05-08,138663.02,2360.83,Petrol,Automatic,5,Available,98370
